Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
1.4632e-02,0.629453
1.4664e-02,0.637422
1.4696e-02,0.644453
1.4728e-02,0.663594
1.4760e-02,0.688047
1.4792e-02,0.701094
1.4824e-02,0.700781
1.4856e-02,0.719297
1.4888e-02,0.733594
1.4920e-02,0.761875
1.4952e-02,0.780781
1.4984e-02,0.790156
1.5016e-02,0.812891
1.5048e-02,0.834141
1.5080e-02,0.838828
1.5112e-02,0.848984
1.5144e-02,0.880469
1.5176e-02,0.898672
1.5208e-02,0.955547
1.5240e-02,1.00203
1.5272e-02,1.0443
1.5304e-02,1.10734
1.5336e-02,1.1718
1.5368e-02,1.22789
1.5400e-02,1.29312
1.5432e-02,1.37414
1.5464e-02,1.4507
1.5496e-02,1.56414
1.5528e-02,1.63305
1.5560e-02,1.70906
1.5592e-02,1.79461
1.5624e-02,1.85844
1.5656e-02,1.95531
1.5688e-02,2.04391
1.5720e-02,2.10984
1.5752e-02,2.17547
1.5784e-02,2.23945
1.5816e-02,2.27227
1.5848e-02,2.27312
1.5880e-02,2.27711
1.5912e-02,2.28328
1.5944e-02,2.28094
1.5976e-02,2.26195
1.6008e-02,2.23594
1.6040e-02,2.1925
1.6072e-02,2.13758
1.6104e-02,2.0668
1.6136e-02,1.98789
1.6168e-02,1.89273
1.6200e-02,1.80289
1.6232e-02,1.69578
1.6264e-02,1.59273
1.6296e-02,1.49398
1.6328e-02,1.39195
1.6360e-02,1.30008
1.6392e-02,1.18672
1.6424e-02,1.0882
1.6456e-02,1.01609
1.6488e-02,0.938047
1.6520e-02,0.863047
1.6552e-02,0.807969
1.6584e-02,0.747344
1.6616e-02,0.690547
1.6648e-02,0.640313
1.6680e-02,0.614219
1.6712e-02,0.593047
1.6744e-02,0.56625
1.6776e-02,0.545156
1.6808e-02,0.526563
1.6840e-02,0.519688
1.6872e-02,0.515625
1.6904e-02,0.512188
1.6936e-02,0.497109
1.6968e-02,0.491016
1.7000e-02,0.491562
1.7032e-02,0.493984
1.7064e-02,0.491875
1.7096e-02,0.4775
1.7128e-02,0.462422
1.7160e-02,0.456641
1.7192e-02,0.452187
1.7224e-02,0.450391
1.7256e-02,0.449688
1.7288e-02,0.449688
1.7320e-02,0.445078
1.7352e-02,0.44125
1.7384e-02,0.424531
1.7416e-02,0.415391
1.7448e-02,0.410391
1.7480e-02,0.41125
1.7512e-02,0.419375
1.7544e-02,0.451797
1.7576e-02,0.470859
1.7608e-02,0.495078
1.7640e-02,0.525547
1.7672e-02,0.558359
1.7704e-02,0.589297
1.7736e-02,0.641953
1.7768e-02,0.694844
1.7800e-02,0.736484
1.7832e-02,0.798672
1.7864e-02,0.852422
1.7896e-02,0.895234
1.7928e-02,0.955391
1.7960e-02,1.03828
1.7992e-02,1.09102
1.8024e-02,1.1293
1.8056e-02,1.19781
1.8088e-02,1.25055
1.8120e-02,1.2932
1.8152e-02,1.34477
1.8184e-02,1.37008
1.8216e-02,1.38328
1.8248e-02,1.41906
1.8280e-02,1.44492
1.8312e-02,1.46992
1.8344e-02,1.46156
1.8376e-02,1.43477
1.8408e-02,1.41984
1.8440e-02,1.39086
1.8472e-02,1.36602
1.8504e-02,1.35219
1.8536e-02,1.31344
1.8568e-02,1.24562
1.8600e-02,1.17211
1.8632e-02,1.11883
1.8664e-02,1.05531
1.8696e-02,1.01281
1.8728e-02,0.955781
1.8760e-02,0.890156
1.8792e-02,0.818359
1.8824e-02,0.755
1.8856e-02,0.689453
1.8888e-02,0.621406
1.8920e-02,0.561094
1.8952e-02,0.505156
1.8984e-02,0.465469
1.9016e-02,0.428828
1.9048e-02,0.401016
1.9080e-02,0.370313
1.9112e-02,0.345547
1.9144e-02,0.323906
1.9176e-02,0.295234
1.9208e-02,0.278672
1.9240e-02,0.265625
1.9272e-02,0.256094
1.9304e-02,0.247031
1.9336e-02,0.243516
1.9368e-02,0.235469
1.9400e-02,0.228594
1.9432e-02,0.210703
1.9464e-02,0.201797
1.9496e-02,0.196094
1.9528e-02,0.190703
1.9560e-02,0.183359
1.9592e-02,0.1775
1.9624e-02,0.175234
1.9656e-02,0.16875
1.9688e-02,0.173437
1.9720e-02,0.176875
1.9752e-02,0.174141
1.9784e-02,0.177109
1.9816e-02,0.176406
1.9848e-02,0.176797
1.9880e-02,0.181406
1.9912e-02,0.182969
1.9944e-02,0.179141
1.9976e-02,0.181094
2.0008e-02,0.181172
2.0040e-02,0.186797
2.0072e-02,0.186719
2.0104e-02,0.188828
2.0136e-02,0.204141
2.0168e-02,0.210547
2.0200e-02,0.215547
2.0232e-02,0.219766
2.0264e-02,0.228203
2.0296e-02,0.235625
2.0328e-02,0.244687
2.0360e-02,0.247812
2.0392e-02,0.243125
2.0424e-02,0.24375
2.0456e-02,0.246563
2.0488e-02,0.250469
2.0520e-02,0.251797
2.0552e-02,0.255625
2.0584e-02,0.256484
2.0616e-02,0.264531
2.0648e-02,0.267187
2.0680e-02,0.269219
2.0712e-02,0.267891
2.0744e-02,0.26625
2.0776e-02,0.253594
2.0808e-02,0.245391
2.0840e-02,0.229766
2.0872e-02,0.228281
2.0904e-02,0.219531
2.0936e-02,0.205937
2.0968e-02,0.196875
2.1000e-02,0.187344
2.1032e-02,0.17625
2.1064e-02,0.163516
2.1096e-02,0.148125
2.1128e-02,0.143516
2.1160e-02,0.129375
2.1192e-02,0.121328
2.1224e-02,0.111875
2.1256e-02,0.103203
2.1288e-02,0.0975
2.1320e-02,0.0898438
2.1352e-02,0.0890625
2.1384e-02,0.0858594
2.1416e-02,0.0815625
2.1448e-02,0.0814062
2.1480e-02,0.0819531
2.1512e-02,0.0820312
2.1544e-02,0.0783594
2.1576e-02,0.0780469
2.1608e-02,0.0764844
2.1640e-02,0.0707813
2.1672e-02,0.0697656
2.1704e-02,0.0673438
2.1736e-02,0.0695313
2.1768e-02,0.0692187
2.1800e-02,0.0692969
2.1832e-02,0.0683594
2.1864e-02,0.0673438
2.1896e-02,0.0663281
2.1928e-02,0.0609375
2.1960e-02,0.0621875
2.1992e-02,0.0646875
2.2024e-02,0.0661719
2.2056e-02,0.0619531
2.2088e-02,0.0664062
2.2120e-02,0.0657812
2.2152e-02,0.0645312
2.2184e-02,0.0616406
