Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
1.6120e-02,0.11625
1.6152e-02,0.114063
1.6184e-02,0.116563
1.6216e-02,0.116875
1.6248e-02,0.116875
1.6280e-02,0.1175
1.6312e-02,0.114063
1.6344e-02,0.117813
1.6376e-02,0.125938
1.6408e-02,0.123125
1.6440e-02,0.118438
1.6472e-02,0.124063
1.6504e-02,0.12625
1.6536e-02,0.124688
1.6568e-02,0.12875
1.6600e-02,0.12875
1.6632e-02,0.124063
1.6664e-02,0.128438
1.6696e-02,0.1275
1.6728e-02,0.126563
1.6760e-02,0.129688
1.6792e-02,0.122813
1.6824e-02,0.124375
1.6856e-02,0.127813
1.6888e-02,0.12125
1.6920e-02,0.12
1.6952e-02,0.116875
1.6984e-02,0.115
1.7016e-02,0.124375
1.7048e-02,0.12625
1.7080e-02,0.128125
1.7112e-02,0.1275
1.7144e-02,0.125938
1.7176e-02,0.119688
1.7208e-02,0.120938
1.7240e-02,0.128438
1.7272e-02,0.123125
1.7304e-02,0.121563
1.7336e-02,0.130938
1.7368e-02,0.12375
1.7400e-02,0.127188
1.7432e-02,0.125938
1.7464e-02,0.124063
1.7496e-02,0.119063
1.7528e-02,0.120625
1.7560e-02,0.12125
1.7592e-02,0.12375
1.7624e-02,0.120313
1.7656e-02,0.122188
1.7688e-02,0.11875
1.7720e-02,0.116875
1.7752e-02,0.1175
1.7784e-02,0.117188
1.7816e-02,0.12
1.7848e-02,0.122813
1.7880e-02,0.122188
1.7912e-02,0.1225
1.7944e-02,0.125625
1.7976e-02,0.125625
1.8008e-02,0.1225
1.8040e-02,0.129688
1.8072e-02,0.1275
1.8104e-02,0.132813
1.8136e-02,0.125
1.8168e-02,0.130625
1.8200e-02,0.130625
1.8232e-02,0.13375
1.8264e-02,0.127813
1.8296e-02,0.135313
1.8328e-02,0.127813
1.8360e-02,0.129063
1.8392e-02,0.13125
1.8424e-02,0.130938
1.8456e-02,0.125625
1.8488e-02,0.12875
1.8520e-02,0.134063
1.8552e-02,0.128125
1.8584e-02,0.132813
1.8616e-02,0.128125
1.8648e-02,0.12875
1.8680e-02,0.124688
1.8712e-02,0.126563
1.8744e-02,0.1325
1.8776e-02,0.131563
1.8808e-02,0.122188
1.8840e-02,0.125313
1.8872e-02,0.126875
1.8904e-02,0.125625
1.8936e-02,0.131563
1.8968e-02,0.130313
1.9000e-02,0.128438
1.9032e-02,0.128438
1.9064e-02,0.12
1.9096e-02,0.124375
1.9128e-02,0.123438
1.9160e-02,0.128125
1.9192e-02,0.127813
1.9224e-02,0.137188
1.9256e-02,0.134375
1.9288e-02,0.13875
1.9320e-02,0.13625
1.9352e-02,0.12875
1.9384e-02,0.134375
1.9416e-02,0.134375
1.9448e-02,0.13125
1.9480e-02,0.125313
1.9512e-02,0.126875
1.9544e-02,0.134688
1.9576e-02,0.140625
1.9608e-02,0.139688
1.9640e-02,0.132813
1.9672e-02,0.13625
1.9704e-02,0.137813
1.9736e-02,0.134063
1.9768e-02,0.138125
1.9800e-02,0.141563
1.9832e-02,0.1375
1.9864e-02,0.141563
1.9896e-02,0.139375
1.9928e-02,0.14
1.9960e-02,0.139375
1.9992e-02,0.138125
2.0024e-02,0.142188
2.0056e-02,0.148438
2.0088e-02,0.15125
2.0120e-02,0.146563
2.0152e-02,0.150313
2.0184e-02,0.152188
2.0216e-02,0.1475
2.0248e-02,0.139688
2.0280e-02,0.1475
2.0312e-02,0.153125
2.0344e-02,0.150938
2.0376e-02,0.154688
2.0408e-02,0.1475
2.0440e-02,0.160313
2.0472e-02,0.16
2.0504e-02,0.156563
2.0536e-02,0.16
2.0568e-02,0.160313
2.0600e-02,0.160625
2.0632e-02,0.16125
2.0664e-02,0.160625
2.0696e-02,0.160625
2.0728e-02,0.162188
2.0760e-02,0.161563
2.0792e-02,0.16375
2.0824e-02,0.161563
2.0856e-02,0.160313
2.0888e-02,0.159688
2.0920e-02,0.1625
2.0952e-02,0.165625
2.0984e-02,0.164688
2.1016e-02,0.16125
2.1048e-02,0.161563
2.1080e-02,0.160625
2.1112e-02,0.16125
2.1144e-02,0.16625
2.1176e-02,0.177188
2.1208e-02,0.17
2.1240e-02,0.163438
2.1272e-02,0.172813
2.1304e-02,0.168125
2.1336e-02,0.163438
2.1368e-02,0.165
2.1400e-02,0.160625
2.1432e-02,0.166563
2.1464e-02,0.172813
2.1496e-02,0.179063
2.1528e-02,0.173125
2.1560e-02,0.174688
2.1592e-02,0.170313
2.1624e-02,0.183125
2.1656e-02,0.186875
2.1688e-02,0.189063
2.1720e-02,0.194688
2.1752e-02,0.196563
2.1784e-02,0.196875
2.1816e-02,0.191563
2.1848e-02,0.199375
2.1880e-02,0.202188
2.1912e-02,0.211875
2.1944e-02,0.219375
2.1976e-02,0.225938
2.2008e-02,0.2325
2.2040e-02,0.234688
2.2072e-02,0.241563
2.2104e-02,0.242188
2.2136e-02,0.244688
2.2168e-02,0.246563
2.2200e-02,0.255
2.2232e-02,0.272188
2.2264e-02,0.27375
2.2296e-02,0.292188
2.2328e-02,0.298125
2.2360e-02,0.304375
2.2392e-02,0.31875
2.2424e-02,0.322188
2.2456e-02,0.323438
2.2488e-02,0.329375
2.2520e-02,0.360313
2.2552e-02,0.378125
2.2584e-02,0.39125
2.2616e-02,0.402188
2.2648e-02,0.4075
2.2680e-02,0.413125
2.2712e-02,0.435938
2.2744e-02,0.4575
2.2776e-02,0.471563
2.2808e-02,0.484375
2.2840e-02,0.494688
2.2872e-02,0.515938
2.2904e-02,0.511875
2.2936e-02,0.535313
2.2968e-02,0.5625
2.3000e-02,0.560313
2.3032e-02,0.56125
2.3064e-02,0.573125
2.3096e-02,0.596875
2.3128e-02,0.608438
2.3160e-02,0.609063
