Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.6880e-02,0.0190969
1.6912e-02,0.0203437
1.6944e-02,0.0195312
1.6976e-02,0.0191937
1.7008e-02,0.0193437
1.7040e-02,0.0187125
1.7072e-02,0.0184875
1.7104e-02,0.019025
1.7136e-02,0.0191937
1.7168e-02,0.0193687
1.7200e-02,0.0192
1.7232e-02,0.0183281
1.7264e-02,0.0169656
1.7296e-02,0.0175094
1.7328e-02,0.0177219
1.7360e-02,0.0185344
1.7392e-02,0.0173844
1.7424e-02,0.0185
1.7456e-02,0.0187656
1.7488e-02,0.0185687
1.7520e-02,0.018125
1.7552e-02,0.0182875
1.7584e-02,0.0183344
1.7616e-02,0.0182406
1.7648e-02,0.0172719
1.7680e-02,0.0181187
1.7712e-02,0.018075
1.7744e-02,0.0182312
1.7776e-02,0.0171937
1.7808e-02,0.0179625
1.7840e-02,0.0182562
1.7872e-02,0.0183656
1.7904e-02,0.0178625
1.7936e-02,0.0182156
1.7968e-02,0.0177781
1.8000e-02,0.017575
1.8032e-02,0.0186031
1.8064e-02,0.0186156
1.8096e-02,0.0182437
1.8128e-02,0.0186375
1.8160e-02,0.0183719
1.8192e-02,0.0193781
1.8224e-02,0.0184844
1.8256e-02,0.0192281
1.8288e-02,0.0184094
1.8320e-02,0.0189062
1.8352e-02,0.0188562
1.8384e-02,0.0189281
1.8416e-02,0.0203062
1.8448e-02,0.0203031
1.8480e-02,0.0193094
1.8512e-02,0.0191281
1.8544e-02,0.0196469
1.8576e-02,0.0193812
1.8608e-02,0.0191312
1.8640e-02,0.0192812
1.8672e-02,0.0189625
1.8704e-02,0.0188687
1.8736e-02,0.0190812
1.8768e-02,0.018575
1.8800e-02,0.0189781
1.8832e-02,0.0195562
1.8864e-02,0.0193094
1.8896e-02,0.0193594
1.8928e-02,0.0206594
1.8960e-02,0.0205312
1.8992e-02,0.0202625
1.9024e-02,0.020125
1.9056e-02,0.0193531
1.9088e-02,0.0191469
1.9120e-02,0.020325
1.9152e-02,0.0204125
1.9184e-02,0.0200406
1.9216e-02,0.0194062
1.9248e-02,0.0202094
1.9280e-02,0.0191469
1.9312e-02,0.0187062
1.9344e-02,0.019525
1.9376e-02,0.0190687
1.9408e-02,0.0194906
1.9440e-02,0.02045
1.9472e-02,0.0204062
1.9504e-02,0.0195844
1.9536e-02,0.0208156
1.9568e-02,0.0199
1.9600e-02,0.0198562
1.9632e-02,0.0208062
1.9664e-02,0.0207937
1.9696e-02,0.0197156
1.9728e-02,0.0215062
1.9760e-02,0.0205875
1.9792e-02,0.0207781
1.9824e-02,0.0209125
1.9856e-02,0.0209625
1.9888e-02,0.020975
1.9920e-02,0.0208656
1.9952e-02,0.0214094
1.9984e-02,0.0220094
2.0016e-02,0.0217562
2.0048e-02,0.0206969
2.0080e-02,0.0213094
2.0112e-02,0.0206594
2.0144e-02,0.0207406
2.0176e-02,0.0206187
2.0208e-02,0.020675
2.0240e-02,0.021075
2.0272e-02,0.0204187
2.0304e-02,0.019875
2.0336e-02,0.0201187
2.0368e-02,0.0204219
2.0400e-02,0.0193437
2.0432e-02,0.0204437
2.0464e-02,0.0212594
2.0496e-02,0.0210875
2.0528e-02,0.0210281
2.0560e-02,0.0227312
2.0592e-02,0.0236437
2.0624e-02,0.0225812
2.0656e-02,0.0225969
2.0688e-02,0.0217781
2.0720e-02,0.0219125
2.0752e-02,0.0236437
2.0784e-02,0.0233719
2.0816e-02,0.0243219
2.0848e-02,0.0252969
2.0880e-02,0.0259625
2.0912e-02,0.0273875
2.0944e-02,0.027225
2.0976e-02,0.0286344
2.1008e-02,0.0298906
2.1040e-02,0.0304562
2.1072e-02,0.0312375
2.1104e-02,0.0324594
2.1136e-02,0.0325406
2.1168e-02,0.0316
2.1200e-02,0.0310406
2.1232e-02,0.0330531
2.1264e-02,0.0346281
2.1296e-02,0.0360844
2.1328e-02,0.0367094
2.1360e-02,0.0376687
2.1392e-02,0.0387469
2.1424e-02,0.0401937
2.1456e-02,0.0408906
2.1488e-02,0.0404187
2.1520e-02,0.0423344
2.1552e-02,0.0439687
2.1584e-02,0.0462531
2.1616e-02,0.04865
2.1648e-02,0.0518125
2.1680e-02,0.0536844
2.1712e-02,0.0586719
2.1744e-02,0.0611125
2.1776e-02,0.0620531
2.1808e-02,0.0666094
2.1840e-02,0.0688687
2.1872e-02,0.0720156
2.1904e-02,0.0701531
2.1936e-02,0.0729687
2.1968e-02,0.0786281
2.2000e-02,0.0813687
2.2032e-02,0.0814812
2.2064e-02,0.0835844
2.2096e-02,0.0852125
2.2128e-02,0.0878
2.2160e-02,0.0890656
2.2192e-02,0.0882187
2.2224e-02,0.0907187
2.2256e-02,0.0881062
2.2288e-02,0.0885
2.2320e-02,0.0900875
2.2352e-02,0.0923562
2.2384e-02,0.0923
2.2416e-02,0.0883344
2.2448e-02,0.0865531
2.2480e-02,0.083875
2.2512e-02,0.0818406
2.2544e-02,0.079775
2.2576e-02,0.0772719
2.2608e-02,0.0748937
2.2640e-02,0.0720656
2.2672e-02,0.0674031
2.2704e-02,0.0636812
2.2736e-02,0.062425
2.2768e-02,0.0566406
2.2800e-02,0.0541031
2.2832e-02,0.0530156
2.2864e-02,0.0491719
2.2896e-02,0.0466312
2.2928e-02,0.0424969
2.2960e-02,0.0425625
2.2992e-02,0.0388812
2.3024e-02,0.0350656
2.3056e-02,0.0346125
2.3088e-02,0.0331312
2.3120e-02,0.0327656
2.3152e-02,0.0323062
2.3184e-02,0.0309844
2.3216e-02,0.0299594
2.3248e-02,0.0286031
2.3280e-02,0.0285281
2.3312e-02,0.02895
2.3344e-02,0.0286031
2.3376e-02,0.0286625
2.3408e-02,0.0273906
2.3440e-02,0.0257656
2.3472e-02,0.0259937
2.3504e-02,0.0259312
2.3536e-02,0.0250906
2.3568e-02,0.0243375
2.3600e-02,0.0242125
2.3632e-02,0.0237344
2.3664e-02,0.0243281
2.3696e-02,0.0236656
2.3728e-02,0.0222344
2.3760e-02,0.0217125
2.3792e-02,0.0215969
2.3824e-02,0.0221281
2.3856e-02,0.021925
2.3888e-02,0.0210844
2.3920e-02,0.0211969
2.3952e-02,0.0230219
2.3984e-02,0.0214656
2.4016e-02,0.0206406
2.4048e-02,0.0208969
2.4080e-02,0.0218844
2.4112e-02,0.0209844
2.4144e-02,0.0204
2.4176e-02,0.0206562
2.4208e-02,0.0201562
2.4240e-02,0.0187469
2.4272e-02,0.0191719
2.4304e-02,0.0201906
2.4336e-02,0.0199719
2.4368e-02,0.0188969
2.4400e-02,0.0199
2.4432e-02,0.0203219
2.4464e-02,0.0206656
2.4496e-02,0.0199344
2.4528e-02,0.0195719
2.4560e-02,0.0191562
2.4592e-02,0.0194812
2.4624e-02,0.0200656
2.4656e-02,0.0193281
2.4688e-02,0.0200281
2.4720e-02,0.0196656
2.4752e-02,0.0191594
2.4784e-02,0.0209844
2.4816e-02,0.0198375
2.4848e-02,0.0198312
2.4880e-02,0.0206687
2.4912e-02,0.0209687
2.4944e-02,0.0202281
2.4976e-02,0.0192531
2.5008e-02,0.0189656
2.5040e-02,0.0182562
2.5072e-02,0.0186031
2.5104e-02,0.0194312
2.5136e-02,0.0192125
2.5168e-02,0.0204812
2.5200e-02,0.0210656
2.5232e-02,0.0203531
2.5264e-02,0.019625
2.5296e-02,0.0207156
2.5328e-02,0.02135
2.5360e-02,0.0216812
2.5392e-02,0.0207719
2.5424e-02,0.0205969
2.5456e-02,0.0197406
2.5488e-02,0.0199937
2.5520e-02,0.0193156
2.5552e-02,0.0189156
2.5584e-02,0.0184156
2.5616e-02,0.0189406
2.5648e-02,0.0191937
2.5680e-02,0.01905
2.5712e-02,0.0194625
2.5744e-02,0.0185906
2.5776e-02,0.0191375
2.5808e-02,0.0207125
2.5840e-02,0.0206937
2.5872e-02,0.0202625
2.5904e-02,0.0206094
2.5936e-02,0.0206781
2.5968e-02,0.0228937
2.6000e-02,0.0224125
2.6032e-02,0.0219219
2.6064e-02,0.0213469
2.6096e-02,0.021525
2.6128e-02,0.0218312
2.6160e-02,0.0223187
2.6192e-02,0.02095
