Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
1.6912e-02,0.0310938
1.6944e-02,0.0346797
1.6976e-02,0.0362578
1.7008e-02,0.0325781
1.7040e-02,0.0313047
1.7072e-02,0.0296328
1.7104e-02,0.0307344
1.7136e-02,0.0318828
1.7168e-02,0.0325781
1.7200e-02,0.0318516
1.7232e-02,0.0317891
1.7264e-02,0.0309375
1.7296e-02,0.0297266
1.7328e-02,0.0311172
1.7360e-02,0.0305859
1.7392e-02,0.0304688
1.7424e-02,0.03175
1.7456e-02,0.0321406
1.7488e-02,0.0335469
1.7520e-02,0.0353438
1.7552e-02,0.0336094
1.7584e-02,0.0335625
1.7616e-02,0.0350078
1.7648e-02,0.0390391
1.7680e-02,0.0363203
1.7712e-02,0.0350234
1.7744e-02,0.0379609
1.7776e-02,0.0374297
1.7808e-02,0.0371328
1.7840e-02,0.0358438
1.7872e-02,0.0374609
1.7904e-02,0.0374922
1.7936e-02,0.0369297
1.7968e-02,0.0379609
1.8000e-02,0.0371875
1.8032e-02,0.0374453
1.8064e-02,0.0375547
1.8096e-02,0.0361172
1.8128e-02,0.0379766
1.8160e-02,0.03625
1.8192e-02,0.0347969
1.8224e-02,0.0332969
1.8256e-02,0.0333828
1.8288e-02,0.0321172
1.8320e-02,0.0323516
1.8352e-02,0.0317109
1.8384e-02,0.0327266
1.8416e-02,0.0327422
1.8448e-02,0.0328203
1.8480e-02,0.0339063
1.8512e-02,0.0337188
1.8544e-02,0.0314844
1.8576e-02,0.0310156
1.8608e-02,0.0319375
1.8640e-02,0.0324297
1.8672e-02,0.0321328
1.8704e-02,0.0303359
1.8736e-02,0.0289219
1.8768e-02,0.0307031
1.8800e-02,0.0279688
1.8832e-02,0.0285234
1.8864e-02,0.0287578
1.8896e-02,0.0287969
1.8928e-02,0.0309844
1.8960e-02,0.0316172
1.8992e-02,0.0302656
1.9024e-02,0.0296797
1.9056e-02,0.0286953
1.9088e-02,0.0310156
1.9120e-02,0.0316875
1.9152e-02,0.0321094
1.9184e-02,0.0307188
1.9216e-02,0.033
1.9248e-02,0.0321094
1.9280e-02,0.0325547
1.9312e-02,0.0315781
1.9344e-02,0.0329766
1.9376e-02,0.0325234
1.9408e-02,0.0328203
1.9440e-02,0.0326875
1.9472e-02,0.0325859
1.9504e-02,0.0351484
1.9536e-02,0.0359297
1.9568e-02,0.0326172
1.9600e-02,0.0318438
1.9632e-02,0.0334063
1.9664e-02,0.0356172
1.9696e-02,0.0346875
1.9728e-02,0.0356719
1.9760e-02,0.0370547
1.9792e-02,0.037875
1.9824e-02,0.0383047
1.9856e-02,0.0404844
1.9888e-02,0.0419141
1.9920e-02,0.0460938
1.9952e-02,0.0461953
1.9984e-02,0.046
2.0016e-02,0.0465156
2.0048e-02,0.0451484
2.0080e-02,0.045625
2.0112e-02,0.0482891
2.0144e-02,0.0501094
2.0176e-02,0.0483125
2.0208e-02,0.0471016
2.0240e-02,0.0490391
2.0272e-02,0.0515313
2.0304e-02,0.0563984
2.0336e-02,0.0536172
2.0368e-02,0.0504141
2.0400e-02,0.0532734
2.0432e-02,0.0511875
2.0464e-02,0.0513438
2.0496e-02,0.0576016
2.0528e-02,0.0550781
2.0560e-02,0.0545156
2.0592e-02,0.0557656
2.0624e-02,0.0548281
2.0656e-02,0.0587344
2.0688e-02,0.0603906
2.0720e-02,0.0602266
2.0752e-02,0.0632109
2.0784e-02,0.0676563
2.0816e-02,0.0694844
2.0848e-02,0.0731172
2.0880e-02,0.0759219
2.0912e-02,0.0783594
2.0944e-02,0.0866016
2.0976e-02,0.096125
2.1008e-02,0.0950859
2.1040e-02,0.10432
2.1072e-02,0.106227
2.1104e-02,0.106359
2.1136e-02,0.107297
2.1168e-02,0.116383
2.1200e-02,0.117688
2.1232e-02,0.126328
2.1264e-02,0.126227
2.1296e-02,0.124578
2.1328e-02,0.124258
2.1360e-02,0.122664
2.1392e-02,0.123047
2.1424e-02,0.118938
