Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
1.4760e-02,2.43156
1.4792e-02,2.41266
1.4824e-02,2.37859
1.4856e-02,2.31062
1.4888e-02,2.26469
1.4920e-02,2.21625
1.4952e-02,2.13125
1.4984e-02,2.02453
1.5016e-02,1.93469
1.5048e-02,1.86984
1.5080e-02,1.77687
1.5112e-02,1.69281
1.5144e-02,1.5925
1.5176e-02,1.51187
1.5208e-02,1.43063
1.5240e-02,1.37438
1.5272e-02,1.28687
1.5304e-02,1.21516
1.5336e-02,1.17203
1.5368e-02,1.12688
1.5400e-02,1.08312
1.5432e-02,1.04906
1.5464e-02,1.00891
1.5496e-02,0.975156
1.5528e-02,0.954063
1.5560e-02,0.942813
1.5592e-02,0.930312
1.5624e-02,0.915469
1.5656e-02,0.905156
1.5688e-02,0.912187
1.5720e-02,0.909844
1.5752e-02,0.933906
1.5784e-02,0.936406
1.5816e-02,0.962656
1.5848e-02,0.976562
1.5880e-02,0.988594
1.5912e-02,1.00578
1.5944e-02,1.01063
1.5976e-02,1.04094
1.6008e-02,1.05406
1.6040e-02,1.08047
1.6072e-02,1.10547
1.6104e-02,1.12187
1.6136e-02,1.14312
1.6168e-02,1.155
1.6200e-02,1.19516
1.6232e-02,1.22891
1.6264e-02,1.25234
1.6296e-02,1.28234
1.6328e-02,1.30797
1.6360e-02,1.34391
1.6392e-02,1.37547
1.6424e-02,1.40813
1.6456e-02,1.45812
1.6488e-02,1.50891
1.6520e-02,1.58047
1.6552e-02,1.63062
1.6584e-02,1.72469
1.6616e-02,1.80797
1.6648e-02,1.91641
1.6680e-02,2.01625
1.6712e-02,2.14969
1.6744e-02,2.26953
1.6776e-02,2.43219
1.6808e-02,2.60516
1.6840e-02,2.74453
1.6872e-02,2.88156
1.6904e-02,3.03766
1.6936e-02,3.18156
1.6968e-02,3.30437
1.7000e-02,3.40281
1.7032e-02,3.50859
1.7064e-02,3.62422
1.7096e-02,3.69828
1.7128e-02,3.76641
1.7160e-02,3.79891
1.7192e-02,3.81
1.7224e-02,3.79828
1.7256e-02,3.76578
1.7288e-02,3.72672
1.7320e-02,3.6425
1.7352e-02,3.53719
1.7384e-02,3.42781
1.7416e-02,3.28922
1.7448e-02,3.14781
1.7480e-02,2.98734
1.7512e-02,2.82
1.7544e-02,2.65641
1.7576e-02,2.48266
1.7608e-02,2.29453
1.7640e-02,2.13219
1.7672e-02,1.96094
1.7704e-02,1.80875
1.7736e-02,1.65859
1.7768e-02,1.51531
1.7800e-02,1.39828
1.7832e-02,1.29766
1.7864e-02,1.21891
1.7896e-02,1.13234
1.7928e-02,1.05844
1.7960e-02,1.01703
1.7992e-02,0.961875
1.8024e-02,0.938594
1.8056e-02,0.914375
1.8088e-02,0.895781
1.8120e-02,0.872187
1.8152e-02,0.863437
1.8184e-02,0.844844
1.8216e-02,0.835938
1.8248e-02,0.826094
1.8280e-02,0.821562
1.8312e-02,0.817813
1.8344e-02,0.821562
1.8376e-02,0.796094
1.8408e-02,0.780781
1.8440e-02,0.773125
1.8472e-02,0.775781
1.8504e-02,0.741563
1.8536e-02,0.736875
1.8568e-02,0.739688
1.8600e-02,0.725938
1.8632e-02,0.738281
1.8664e-02,0.716094
1.8696e-02,0.7225
1.8728e-02,0.736719
1.8760e-02,0.741719
1.8792e-02,0.759062
1.8824e-02,0.786563
1.8856e-02,0.812656
1.8888e-02,0.843125
1.8920e-02,0.893438
1.8952e-02,0.964688
1.8984e-02,1.02703
1.9016e-02,1.10484
1.9048e-02,1.19969
1.9080e-02,1.28797
1.9112e-02,1.38578
1.9144e-02,1.47313
1.9176e-02,1.56859
1.9208e-02,1.68781
1.9240e-02,1.79562
1.9272e-02,1.89516
1.9304e-02,1.96359
1.9336e-02,2.07625
1.9368e-02,2.13719
1.9400e-02,2.20469
1.9432e-02,2.275
1.9464e-02,2.33312
1.9496e-02,2.39578
1.9528e-02,2.41703
1.9560e-02,2.43063
1.9592e-02,2.42156
1.9624e-02,2.40422
1.9656e-02,2.39266
1.9688e-02,2.35656
1.9720e-02,2.3025
1.9752e-02,2.26281
1.9784e-02,2.18203
1.9816e-02,2.09766
1.9848e-02,2.01625
1.9880e-02,1.91266
1.9912e-02,1.81594
1.9944e-02,1.70219
1.9976e-02,1.61703
2.0008e-02,1.50297
2.0040e-02,1.40156
2.0072e-02,1.31047
2.0104e-02,1.23422
2.0136e-02,1.16578
2.0168e-02,1.12
2.0200e-02,1.06312
2.0232e-02,1.01172
2.0264e-02,0.969062
2.0296e-02,0.933125
2.0328e-02,0.914531
2.0360e-02,0.899219
2.0392e-02,0.897969
2.0424e-02,0.887031
2.0456e-02,0.870625
2.0488e-02,0.872344
2.0520e-02,0.873125
2.0552e-02,0.858437
2.0584e-02,0.83875
2.0616e-02,0.842969
2.0648e-02,0.835
2.0680e-02,0.826563
2.0712e-02,0.82
2.0744e-02,0.819062
2.0776e-02,0.821094
2.0808e-02,0.823594
2.0840e-02,0.819844
2.0872e-02,0.813906
2.0904e-02,0.821875
2.0936e-02,0.831875
2.0968e-02,0.85625
2.1000e-02,0.896406
2.1032e-02,0.927344
2.1064e-02,0.980938
2.1096e-02,1.0375
2.1128e-02,1.08625
2.1160e-02,1.16047
2.1192e-02,1.24172
2.1224e-02,1.32687
2.1256e-02,1.41828
2.1288e-02,1.525
2.1320e-02,1.62703
2.1352e-02,1.73422
2.1384e-02,1.85672
2.1416e-02,1.96453
2.1448e-02,2.0975
2.1480e-02,2.22047
2.1512e-02,2.33812
2.1544e-02,2.44953
2.1576e-02,2.58312
2.1608e-02,2.68547
2.1640e-02,2.79203
2.1672e-02,2.91609
2.1704e-02,2.98937
2.1736e-02,3.04297
2.1768e-02,3.11844
2.1800e-02,3.14359
2.1832e-02,3.14562
2.1864e-02,3.16547
2.1896e-02,3.13859
2.1928e-02,3.10281
2.1960e-02,3.05578
2.1992e-02,2.97141
2.2024e-02,2.87984
2.2056e-02,2.78828
2.2088e-02,2.66219
2.2120e-02,2.53891
2.2152e-02,2.40484
2.2184e-02,2.26047
2.2216e-02,2.12078
2.2248e-02,1.96719
2.2280e-02,1.80797
